dept_name,first_name,last_name,emp_no
Development,Georgi,Facello,10001
Production,Chirstian,Koblick,10004
Quality Management,Sumant,Peac,10009
Production,Kazuhide,Peha,10018
Development,Kazuhide,Peha,10018
Production,Alain,Chappelet,10035
Sales,Sanjiv,Zschoche,10053
Marketing,Berhard,McFarlin,10058
Development,Kwee,Schusler,10066
Quality Management,Claudi,Stavenow,10067
Development,Reuven,Garigliano,10070
Research,Reuven,Garigliano,10070
Development,Hironoby,Sidou,10072
Development,Erez,Ritzmann,10076
Sales,Jungsoon,Syrzycki,10088
Customer Service,Jungsoon,Syrzycki,10088
Human Resources,Hironobu,Haraldson,10100
Development,Akemi,Birch,10103
Customer Service,Kayoko,Valtorta,10126
Development,Armond,Peir,10129
Production,Nishit,Casperson,10130
Production,Diederik,Siprelle,10134
Development,Diederik,Siprelle,10134
Quality Management,Perry,Shimshoni,10138
Development,Zhenbing,Perng,10150
Development,Heekeun,Majewski,10153
Development,Nigel,Aloisi,10157
Development,Pranav,Furedi,10198
Sales,Xiaobin,Duclos,10215
Production,Leon,Trogemann,10224
Human Resources,Lein,Vendrig,10233
Development,Basil,Ishibashi,10258
Finance,Yishai,Cannane,10272
Production,Hercules,Benzmuller,10282
Development,Kauko,Birjandi,10283
Research,Masali,Czap,10326
Marketing,Djelloul,Laventhal,10340
Research,Pradeep,Kaminger,10347
Sales,Satyanarayana,Cochrane,10355
Research,Vasilis,Standera,10356
Production,Nakhoon,Dengi,10364
Production,Anneli,Frijda,10372
Customer Service,Parto,Wrigley,10387
Development,Sibyl,Rahier,10396
Quality Management,Volkmar,Ebeling,10402
Development,Prodip,Rosti,10404
Development,Arunas,Luce,10426
Development,Martien,Improta,10429
Customer Service,Hisao,Tiemann,10432
Production,Bodh,Ranta,10451
Customer Service,Tsvetan,Matzel,10453
Sales,Ung,Zaiane,10463
Quality Management,Amstein,Kossowski,10486
Production,Yakkov,Servieres,10494
Sales,Xiong,Varker,10504
Human Resources,Udi,Gihr,10512
Human Resources,Marke,Cesareni,10522
Marketing,Ramalingam,Gunderson,10548
Sales,Ramalingam,Gunderson,10548
Production,Jianhao,Thisen,10564
Development,Aleksander,Danlos,10623
Research,Aleksander,Danlos,10623
Development,Krisda,Krogh,10628
Development,Inderjeet,Chaudhuri,10631
Development,Hirochika,Narlikar,10642
Development,Otmar,Feinberg,10653
Human Resources,Parviz,Rebaine,10671
Development,Valeri,Danley,10676
Customer Service,Berhard,Daescu,10693
Development,Bader,Szemeredi,10702
Development,Adib,Rullman,10718
Development,Zita,Minakawa,10726
Production,Sachar,Erdi,10734
Production,Poorav,Ranze,10745
Production,King,Brendel,10749
Sales,Monique,Doering,10767
Production,Ishfaq,Candan,10768
Marketing,Selwyn,Merey,10778
Development,Tadahiko,Sgarro,10791
Sales,Supot,Naudin,10795
Development,Chenxi,Leijenhorst,10808
Production,Tomoyuki,Kermarrec,10835
Sales,Jianhua,Leivant,10836
Customer Service,Jianhua,Leivant,10836
Development,Dipayan,Koprowski,10844
Research,Theirry,Danley,10847
Production,Fen,Bratsberg,10848
Sales,Lakshmi,Deville,10878
Development,Muzhong,Chleq,10879
Production,Shimshon,Champarnaud,10883
Development,Georgi,Atchley,10909
Production,Mara,Bahi,10921
Sales,Hironoby,Atchley,10924
Marketing,Gal,Scallan,10927
Human Resources,Mountaz,Schicker,10936
Development,Berna,Skafidas,10943
Sales,Eckart,Braunschweig,10965
Development,Premal,Noriega,10969
Development,Muneo,Papsdorf,10974
Development,Masako,Schiper,10986
Development,Chinya,Deyuan,10988
Finance,Sumali,Candan,10989
Development,Shin,Foote,10990
Sales,Alper,Axelband,11009
Marketing,Taegyun,Speckmann,11012
Customer Service,Taegyun,Speckmann,11012
Development,Leon,Huttel,11019
Research,Srinidhi,Henders,11021
Production,Remzi,Cappello,11027
Marketing,Ottavia,Walstra,11031
Production,Lansing,Maliniak,11037
Research,Jinya,Beidas,11038
Development,Gou,Breugel,11042
Sales,Jaques,Demke,11048
Marketing,Elvis,Katiyar,11050
Production,Przemyslawa,Erol,11051
Quality Management,Adib,Raney,11070
Finance,Barry,Boyle,11081
Production,Hailing,Thummel,11085
Research,Berna,Cochrane,11100
Development,Aris,Iwayama,11106
Customer Service,Boaz,Mukaidono,11112
Marketing,Shahab,Peng,11113
Development,Vugranam,Kakkad,11121
Quality Management,Nalini,Azulay,11133
Quality Management,Sachar,Rajcani,11134
Development,Hugh,Luca,11137
Customer Service,Bogdan,Homond,11139
Sales,Ishfaq,Masand,11146
Finance,Zhanqiu,Botman,11148
Human Resources,Zhanqiu,Botman,11148
Development,Kauko,Narlikar,11162
Development,Mitsuyuki,Bojadziev,11180
Sales,Tadahiro,Fordan,11197
Production,Diederik,Covnot,11204
Development,Saeed,Gips,11207
Production,Saniya,Valtorta,11208
Production,Yurij,Rissland,11211
Production,Kellie,Mawatari,11217
Customer Service,Hidefumi,Crelier,11232
Development,Kiam,Condotta,11240
Development,Randi,Cyre,11249
Marketing,Bezalel,Chinal,11251
Production,Aimee,Petersohn,11268
Development,Hitomi,Eppinger,11275
Development,Visit,Dredge,11290
Finance,Abdelkader,Lanzelotte,11295
Development,Pranas,Marrakchi,11319
Marketing,Atilio,McAlpine,11320
Quality Management,Nathalie,Pocchiola,11322
Production,Kauko,Billingsley,11324
Sales,Kwangsub,Hanratty,11338
Production,Flemming,Massonet,11339
Development,Anneli,Jonsson,11347
Production,Toshimi,Shinomoto,11365
Research,Valery,Suomi,11376
Development,Kenroku,Pelc,11380
Production,Shiv,Ullian,11385
Quality Management,Alselm,Assaf,11386
Production,Junsik,Junot,11393
Finance,Oscar,Peir,11398
Development,Bedrich,Borovoy,11404
Production,Sanjiv,Anido,11415
Production,Josyula,Msuda,11421
Sales,Marlo,Aingworth,11441
Production,Kotesh,Asser,11449
Human Resources,Duke,Suomi,11459
Production,Guttorm,Giaccio,11469
Sales,Rance,Picel,11506
Development,Aleksander,Feldhoffer,11509
Finance,Otmar,Mahnke,11513
Sales,Ulf,Basawa,11515
Human Resources,Jinxi,Oxman,11518
Development,Xiadong,Standera,11524
Marketing,Alagu,Boyle,11527
Production,Zito,Dolinsky,11528
Sales,DAIDA,Pehl,11537
Marketing,Subhash,Taubenfeld,11554
Human Resources,Subhash,Taubenfeld,11554
Human Resources,Kotesh,Perfilyeva,11555
Sales,Teiji,Mitzlaff,11567
Development,Martins,Fujisaki,11568
Finance,Herb,Swen,11603
Production,Tomokazu,Foong,11607
Sales,Shem,Isaak,11615
Production,Adil,Gammage,11624
Development,Fan,Malinowski,11628
Research,Fan,Malinowski,11628
Development,Valeri,Coorg,11640
Development,Magy,Nitsche,11647
Sales,Gill,Stenning,11660
Production,Henk,Felder,11673
Production,Valeri,Ferriere,11676
Production,Fumitake,Benzmuller,11681
Marketing,Oksana,Gide,11684
Sales,Dante,Rothe,11696
Production,Sanjoy,Ranft,11732
Customer Service,Sanjoy,Ranft,11732
Customer Service,Amalendu,Picci,11735
Sales,Koichi,Marrakchi,11746
Research,Jiafu,Emiris,11751
Production,Sanjay,Anick,11764
Development,Chandrasekaran,Lampe,11769
Research,Chandrasekaran,Lampe,11769
Development,Gaurav,Penz,11772
Marketing,Chenxi,Thambidurai,11797
Sales,Chenxi,Thambidurai,11797
Development,Amabile,Bhattacharjee,11810
Sales,Niranjan,Markovitch,11817
Development,Arto,Zlotek,11832
Development,Shawna,Demeyer,11844
Marketing,Zeljko,Kusakabe,11853
Sales,Divier,Farrag,11857
Customer Service,Pradeep,Kriebel,11864
Development,Nalini,Sommen,11871
Marketing,Cheong,Riexinger,11872
Development,Mitchel,Validov,11894
Sales,Cordelia,Setlzner,11897
Development,Hideo,Boguraev,11906
Production,Miomir,Mawatari,11915
Research,Gunilla,Chiodo,11931
Development,Basil,Erman,11933
Production,Martijn,Harbusch,11949
Development,Jaana,Hedayat,11983
Human Resources,Marit,Dalphin,11993
Sales,Zhilian,Coorg,12011
Marketing,Mads,Ratzlaff,12036
Sales,Mads,Ratzlaff,12036
Customer Service,Arunas,Katzenelson,12037
Production,Yuchang,Tchuente,12050
Human Resources,Margareta,Worfolk,12062
Development,Ayonca,Burnard,12069
Development,Ger,Shokrollahi,12070
Sales,Karlis,Siprelle,12076
Sales,Xinan,Yamaashi,12082
Human Resources,Bilhanan,Socorro,12089
